date,Id,content,username,Like_Count,retweet_count,reply_count,followers_Count,month,day,weekday,year
2023-02-03 21:56:03+00:00,1.62163E+18,"Celebrities have turned deaf ears and blind eyes to choose a presidential candidate, they've refused to be open enough to the people on whom they choose to represent them in the office. If they ain't bold enough for this, they've failed us. #BBTitans #BBTaitans #greenwoodOUT",De_PrincePaul,3,0,0,0,2,3,4,2023
2023-02-03 21:54:19+00:00,1.62163E+18,"Yemi Alade (Ft. Effyzzie Music,Yaba Buluku Boyz) - Tell Somebody 

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,1,0,0,2,3,4,2023
2023-02-03 21:48:07+00:00,1.62163E+18,"Please tell me that (at least) one of the APC governors supported LG autonomy.... Otherwise, I don't want to hear ""Progressive...""

#NigeriaDecides2023 #NigeriaDecides #BBTitans #BBTaitans #fridaymorning #greenwoodOUT https://t.co/MpNbOMHQKK",opeoluway2k,3,0,0,0,2,3,4,2023
2023-02-03 21:44:31+00:00,1.62163E+18,Keep this scumbag away from Old Trafford. #greenwoodOUT,surfacezebra,2,0,0,0,2,3,4,2023
2023-02-03 21:42:34+00:00,1.62163E+18,@ManUtd @Sanchooo10 #GlazersOut #greenwoodOUT,Tammy_UTD,0,0,0,0,2,3,4,2023
2023-02-03 21:42:28+00:00,1.62163E+18,"DJ Spinall Ft. Asake - Palazzo

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,1,0,0,2,3,4,2023
2023-02-03 21:36:09+00:00,1.62162E+18,"Kizz Daniel Ft. Tekno - Buga 

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,1,0,0,2,3,4,2023
2023-02-03 21:33:31+00:00,1.62162E+18,"@NigeriaGov @NGRPresident @NGRSenate @MBuhari should be somewhere thinking about this, not even one dying job created for a while lot of 8yrs. Congrats @POTUS @VP and the entire @WhiteHouse #BBTitans #greenwoodOUT #PeterObiForPresident2023 #ObiDatti2023",De_PrincePaul,2,0,0,0,2,3,4,2023
2023-02-03 21:27:09+00:00,1.62162E+18,Starbucks #greenwoodOUT https://t.co/FgB3xaQ36t,zuurrytweets,2,0,0,0,2,3,4,2023
2023-02-03 21:11:50+00:00,1.62162E+18,"Personally, i love and welcome you @Sanchooo10 back to the best team ever @ManUtd ❤ and secondly, the #Lastlast background sound by @burnaboy 'I Need Igbo And Shayo' made this video worth it. #GOAT𓃵 #greenwoodOUT #BBTitans #MUN https://t.co/pinQPzd4Fc",De_PrincePaul,7,1,0,0,2,3,4,2023
2023-02-03 21:05:41+00:00,1.62162E+18,"Davido I Got a Friend Video ft Mayorkun, Sho Madjozi

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,0,0,0,2,3,4,2023
2023-02-03 21:04:28+00:00,1.62162E+18,"Just a reminder that if you are planning to show PO shege at the polling unit, I want you to know that he PO has nothing to lose na me and you go suffer am, use your head no allow stupidity over shadow your sense of reasoning  vote wisely  #ObiDattiInEbonyi #greenwoodOUT",UtaaveE,0,0,0,0,2,3,4,2023
2023-02-03 21:02:18+00:00,1.62162E+18,"It's a big group of em baby. They work for you and they yo family. Then they send weird text like this🤔🤦🏿‍♀️
#Haters #bullies #fridaymorning #lol  #Aquarius #Virgo #truth #clarity #unbothered #UkraineWar US style😭 #actors #reptile #funkyfriday #tarot #YouTube #greenwoodOUT https://t.co/UFS21WJgYK",TIORY10,0,0,0,0,2,3,4,2023
2023-02-03 20:58:12+00:00,1.62161E+18,#UAPs #distraction #BenidormFest2023 #bigbrothernlbe #KnockAtTheCabin #greenwoodOUT #uniben #ChineseSpyBalloon #Thalapathy67Promo #TOMORROW_X_TOGETHER https://t.co/xXp9syOobr,Cjtats1975,0,0,0,0,2,3,4,2023
